QuarterSinceLaunch,CurrentND,CurrentWD,PreviousND,PreviousWD,NDGrowth,WDGrowth,AccessGap,TotalGenericPrescriptions,TotalClassPrescriptions,AdoptionClass
3,31.25,84.28571429,28.57142857,77.73654917,2.678571429,6.549165121,53.03571429,558,1540,Fast
1,0,0,0,0,0,0,0,0,8050,Slow
2,0,0,0,0,0,0,0,0,7666,Slow
3,0,0,0,0,0,0,0,0,7005,Slow
1,100,100,0,0,100,100,0,859614,861175,Fast
2,100,100,100,100,0,0,0,845679,846561,Fast
3,100,100,100,100,0,0,0,786667,787396,Fast
1,22.22222222,76.04355717,0,0,22.22222222,76.04355717,53.82133495,88,551,Medium
2,20,78.87931034,22.22222222,76.04355717,-2.222222222,2.835753176,58.87931034,165,464,Medium
3,33.33333333,80.41237113,20,78.87931034,13.33333333,1.533060789,47.0790378,193,485,Medium
1,100,100,0,0,100,100,0,44960,44960,Fast
2,100,100,100,100,0,0,0,55571,55571,Fast
3,100,100,100,100,0,0,0,59993,59993,Fast
1,0,0,0,0,0,0,0,0,1159,Slow
2,0,0,0,0,0,0,0,0,1142,Slow
3,0,0,0,0,0,0,0,0,1225,Slow
1,0,0,0,0,0,0,0,0,518,Fast
2,40,85.26077098,0,0,40,85.26077098,45.26077098,83,441,Fast
3,60,91.85022026,40,85.26077098,20,6.589449289,31.85022026,220,454,Fast
1,98.07692308,99.61328708,0,0,98.07692308,99.61328708,1.536364005,832625,888773,Fast
2,98.07692308,99.61899865,98.07692308,99.61328708,0,0.005711572,1.542075578,858649,914170,Fast
3,98.07692308,99.52998928,98.07692308,99.61899865,0,-0.089009374,1.453066203,869465,924447,Fast
1,0,0,0,0,0,0,0,0,21429,Fast
2,73.33333333,89.80592138,0,0,73.33333333,89.80592138,16.47258805,7855,20198,Fast
3,82.9787234,92.40660826,73.33333333,89.80592138,9.645390071,2.600686878,9.427884852,12523,22941,Fast
1,100,100,0,0,100,100,0,4595,4595,Fast
2,100,100,100,100,0,0,0,2028,2028,Fast
3,100,100,100,100,0,0,0,2023,2023,Fast
1,0,0,0,0,0,0,0,0,3159,Slow
2,0,0,0,0,0,0,0,0,3072,Slow
