QuarterSinceLaunch,CurrentND,CurrentWD,PreviousND,PreviousWD,NDGrowth,WDGrowth,AccessGap,TotalGenericPrescriptions,TotalClassPrescriptions,AdoptionClass
1,27.45098039,68.51489607,0,0,27.45098039,68.51489607,41.06391568,1251,71059,Fast
2,82,98.31466344,27.45098039,68.51489607,54.54901961,29.79976737,16.31466344,16207,69363,Fast
3,86.2745098,98.24395258,82,98.31466344,4.274509804,-0.07071086,11.96944277,30111,61877.6,Fast
1,100,100,0,0,100,100,0,6802833,6804748,Fast
2,100,100,100,100,0,0,0,6794749,6795677,Fast
3,100,100,100,100,0,0,0,6352903,6353664,Fast
1,100,100,0,0,100,100,0,7884157,7884157,Fast
2,100,100,100,100,0,0,0,8504716,8504716,Fast
3,100,100,100,100,0,0,0,7363272,7363272,Fast
1,16.66666667,80.90452261,0,0,16.66666667,80.90452261,64.23785595,76,398,Fast
2,75,94.95614035,16.66666667,80.90452261,58.33333333,14.05161774,19.95614035,287,456,Fast
3,85.71428571,97.18969555,75,94.95614035,10.71428571,2.233555199,11.47540984,287,427,Fast
1,0,0,0,0,0,0,0,0,40512,Fast
2,0,0,0,0,0,0,0,0,48015,Fast
3,60.86956522,94.88187389,0,0,60.86956522,94.88187389,34.01230867,5440,49608,Fast
1,100,100,0,0,100,100,0,22235,24619,Fast
2,100,100,100,100,0,0,0,26597,28405,Fast
3,100,100,100,100,0,0,0,28996,30307,Fast
1,0,0,0,0,0,0,0,0,16475,Slow
2,0,0,0,0,0,0,0,0,14959,Slow
3,0,0,0,0,0,0,0,0,16185,Slow
1,100,100,0,0,100,100,0,19297,19390,Fast
2,100,100,100,100,0,0,0,24748,24803,Fast
3,100,100,100,100,0,0,0,29912,29936,Fast
1,5.769230769,54.13398869,0,0,5.769230769,54.13398869,48.36475792,949,306399,Fast
2,90.38461538,95.83049104,5.769230769,54.13398869,84.61538462,41.69650235,5.445875658,107914,285861,Fast
3,94.23076923,99.16597447,90.38461538,95.83049104,3.846153846,3.335483428,4.93520524,185230,294955,Fast
1,100,100,0,0,100,100,0,421240,421240,Fast
2,100,100,100,100,0,0,0,340926,340926,Fast
3,100,100,100,100,0,0,0,314376,314376,Fast
1,0,0,0,0,0,0,0,0,18838,Slow
2,0,0,0,0,0,0,0,0,18706,Slow
3,0,0,0,0,0,0,0,0,18118,Slow
1,100,100,0,0,100,100,0,4177161,4201757,Fast
2,100,100,100,100,0,0,0,4181683,4202830,Fast
3,100,100,100,100,0,0,0,4294610,4314901,Fast
1,0,0,0,0,0,0,0,0,239835,Slow
2,0,0,0,0,0,0,0,0,249561,Slow
3,0,0,0,0,0,0,0,0,258755,Slow
1,0,0,0,0,0,0,0,0,121837,Slow
2,0,0,0,0,0,0,0,0,118480,Slow
3,0,0,0,0,0,0,0,0,115712,Slow
1,0,0,0,0,0,0,0,0,8900,Slow
2,0,0,0,0,0,0,0,0,8483,Slow
3,0,0,0,0,0,0,0,0,7901,Slow
1,31.57894737,76.97297297,0,0,31.57894737,76.97297297,45.3940256,320,1850,Fast
2,53.84615385,84.76585655,31.57894737,76.97297297,22.26720648,7.792883577,30.9197027,759,1687,Fast
3,71.42857143,92.34205488,53.84615385,84.76585655,17.58241758,7.576198332,20.91348345,779,1567,Fast
1,100,100,0,0,100,100,0,5076392,5929091,Fast
2,100,100,100,100,0,0,0,4102397,4926658,Fast
3,100,100,100,100,0,0,0,4388749,5531701,Fast
1,0,0,0,0,0,0,0,0,13369,Fast
2,37.14285714,74.87873372,0,0,37.14285714,74.87873372,37.73587658,1035,11751,Fast
3,48.57142857,77.12705242,37.14285714,74.87873372,11.42857143,2.248318694,28.55562385,1712,11389,Fast
1,80.76923077,95.47612028,0,0,80.76923077,95.47612028,14.70688951,32803,67840,Fast
2,82.69230769,96.88295351,80.76923077,95.47612028,1.923076923,1.406833232,14.19064582,36233,68366,Fast
3,76.92307692,93.47558588,82.69230769,96.88295351,-5.769230769,-3.407367632,16.55250896,39566,71516,Fast
1,0,0,0,0,0,0,0,0,6549,Slow
2,0,0,0,0,0,0,0,0,6806,Slow
3,0,0,0,0,0,0,0,0,6671,Slow
1,17.64705882,74.98691784,0,0,17.64705882,74.98691784,57.33985902,255,1911,Fast
2,69.23076923,95.34261242,17.64705882,74.98691784,51.58371041,20.35569458,26.11184319,723,1868,Fast
3,78.57142857,97.33959311,69.23076923,95.34261242,9.340659341,1.996980695,18.76816454,975,1917,Fast
1,0,0,0,0,0,0,0,0,56,Fast
2,50,86.45833333,0,0,50,86.45833333,36.45833333,11,96,Fast
3,100,100,50,86.45833333,50,13.54166667,0,11,22,Fast
1,100,100,0,0,100,100,0,70939,72927,Fast
2,100,100,100,100,0,0,0,78569,81201,Fast
3,100,100,100,100,0,0,0,79115,82046,Fast
1,95.65217391,99.8684923,0,0,95.65217391,99.8684923,4.21631839,45438,51708,Fast
2,95.74468085,99.83447134,95.65217391,99.8684923,0.092506938,-0.03402096,4.089790492,50214,53163,Fast
3,100,100,95.74468085,99.83447134,4.255319149,0.165528657,0,55862,57956,Fast
1,97.91666667,99.98705425,0,0,97.91666667,99.98705425,2.070387588,74646,84970,Fast
2,97.95918367,99.98537568,97.91666667,99.98705425,0.042517007,-0.001678578,2.026192003,82048,88893,Fast
3,100,100,97.95918367,99.98537568,2.040816327,0.014624324,0,78466,84585,Fast
1,100,100,0,0,100,100,0,5549487,5553396,Fast
2,100,100,100,100,0,0,0,5463217,5465665,Fast
3,100,100,100,100,0,0,0,5632181,5633897,Fast
1,100,100,0,0,100,100,0,2302276,2346212,Fast
2,100,100,100,100,0,0,0,2251815,2299681,Fast
3,100,100,100,100,0,0,0,2113572,2157985,Fast
1,0,0,0,0,0,0,0,0,20,Slow
2,0,0,0,0,0,0,0,0,23,Slow
3,0,0,0,0,0,0,0,0,18,Slow
1,0,0,0,0,0,0,0,0,4690,Slow
2,0,0,0,0,0,0,0,0,4867,Slow
